parent_dir	m00	m01	m02	m10	m11	m12	m20	m21	m22
mp-1225674_Cu	0.0	6.595727943778541e-08	0.05163020992470211	6.595727943778541e-08	0.0	0.05163014396742267	0.05163020992470211	0.05163014396742267	0.0
mp-1225675_Cu	0.0	5.6174790554254544e-06	0.18157517352905914	5.6174790554254544e-06	0.0	0.18158079100811456	0.18157517352905914	0.18158079100811456	0.0
mp-1225677_Cu	0.0	0.01002884655187995	0.1409402547226433	0.01002884655187995	0.0	0.13091140817076333	0.1409402547226433	0.13091140817076333	0.0
mp-1225680_Cu	0.0	2.9153542205598875e-06	0.1746314081901946	2.9153542205598875e-06	0.0	0.17463432354441516	0.1746314081901946	0.17463432354441516	0.0
mp-1225685_Cu	0.0	2.9421991101640617e-06	0.18912610817038356	2.9421991101640617e-06	0.0	0.18912905036949373	0.18912610817038356	0.18912905036949373	0.0
mp-1225687_Cu	0.0	0.00677226361570856	0.11645918341749842	0.00677226361570856	0.0	0.10968691980178986	0.11645918341749842	0.10968691980178986	0.0
mp-1225694_Cu	0.0	0.011645795112298582	0.10932399629185874	0.011645795112298582	0.0	0.12096979140415731	0.10932399629185874	0.12096979140415731	0.0
mp-1225695_Cu	0.0	0.022463441426672504	0.11125137737585938	0.022463441426672504	0.0	0.1337148188025319	0.11125137737585938	0.1337148188025319	0.0
mp-1225697_Cu	0.0	2.8713271092583835e-06	0.12086367130892525	2.8713271092583835e-06	0.0	0.120860799981816	0.12086367130892525	0.120860799981816	0.0
mp-1225701_Cu	0.0	0.008655310917412838	0.13457693668534051	0.008655310917412838	0.0	0.12592162576792768	0.13457693668534051	0.12592162576792768	0.0
mp-1225702_Cu	0.0	7.229910525749848e-05	0.0001349865875638776	7.229910525749848e-05	0.0	6.268748230637913e-05	0.0001349865875638776	6.268748230637913e-05	0.0
mp-1225704_Cu	0.0	0.011165379051736186	0.18179089546441654	0.011165379051736186	0.0	0.17062551641268037	0.18179089546441654	0.17062551641268037	0.0
mp-1225705_Cu	0.0	2.694806179934095e-07	0.2714971592557251	2.694806179934095e-07	0.0	0.2714974287363431	0.2714971592557251	0.2714974287363431	0.0
mp-1225707_Cu	0.0	0.04076324370188333	0.7099406838118245	0.04076324370188333	0.0	0.6691774401099412	0.7099406838118245	0.6691774401099412	0.0
mp-1225742_Cu	0.0	0.0021322808384985925	0.19729751185450906	0.0021322808384985925	0.0	0.19516523101601047	0.19729751185450906	0.19516523101601047	0.0
mp-1225749_Cu	0.0	0.0014195794320814184	0.024120234893728817	0.0014195794320814184	0.0	0.022700655461647398	0.024120234893728817	0.022700655461647398	0.0
mp-1225756_Cu	0.0	4.610900440958475e-05	0.05975703510590036	4.610900440958475e-05	0.0	0.059803144110309944	0.05975703510590036	0.059803144110309944	0.0
mp-1225790_Cu	0.0	0.00038587829802557767	0.025259233660469817	0.00038587829802557767	0.0	0.024873355362444238	0.025259233660469817	0.024873355362444238	0.0
mp-1225794_Cu	0.0	1.4013426186192504e-05	0.036200720255365935	1.4013426186192504e-05	0.0	0.036214733681552126	0.036200720255365935	0.036214733681552126	0.0
mp-1225800_Cu	0.0	0.003939753346665264	0.2144062970153749	0.003939753346665264	0.0	0.21046654366870962	0.2144062970153749	0.21046654366870962	0.0
mp-1225840_Cu	0.0	0.012826553851078214	0.01599519291611237	0.012826553851078214	0.0	0.02882174676719058	0.01599519291611237	0.02882174676719058	0.0
mp-1225954_Cu	0.0	0.0029185843502137635	0.2972576874936966	0.0029185843502137635	0.0	0.3001762718439103	0.2972576874936966	0.3001762718439103	0.0
mp-1226070_Cu	0.0	0.05832108780051652	0.2347434646191956	0.05832108780051652	0.0	0.1764223768186791	0.2347434646191956	0.1764223768186791	0.0
mp-1226246_Cu	0.0	0.02666043184656156	0.4671898421108746	0.02666043184656156	0.0	0.4405294102643131	0.4671898421108746	0.4405294102643131	0.0
mp-1226309_Cu	0.0	0.042500542425639005	0.1102473714976883	0.042500542425639005	0.0	0.0677468290720493	0.1102473714976883	0.0677468290720493	0.0
mp-12265_Cu	0.0	0.14512008364052878	0.0028604817923614198	0.14512008364052878	0.0	0.14225960184816736	0.0028604817923614198	0.14225960184816736	0.0
mp-1226514_Cu	0.0	0.0021418067913170826	0.25391548114735035	0.0021418067913170826	0.0	0.2517736743560333	0.25391548114735035	0.2517736743560333	0.0
mp-12266_Cu	0.0	0.20731439506122665	0.3655043457764921	0.20731439506122665	0.0	0.5728187408377188	0.3655043457764921	0.5728187408377188	0.0
mp-1226613_Cu	0.0	0.006217634031540998	0.11467965185740599	0.006217634031540998	0.0	0.12089728588894698	0.11467965185740599	0.12089728588894698	0.0
mp-1226654_Cu	0.0	0.005334024185565805	0.10507723272846504	0.005334024185565805	0.0	0.11041125691403085	0.10507723272846504	0.11041125691403085	0.0
mp-1226800_Cu	0.0	0.10642042692526059	0.14672649544220417	0.10642042692526059	0.0	0.040306068516943586	0.14672649544220417	0.040306068516943586	0.0
mp-1226999_Cu	0.0	3.326022720373188e-06	0.11461665291763563	3.326022720373188e-06	0.0	0.11461997894035601	0.11461665291763563	0.11461997894035601	0.0
mp-1227096_Cu	0.0	0.02437248976290876	0.10116241456784703	0.02437248976290876	0.0	0.07678992480493826	0.10116241456784703	0.07678992480493826	0.0
mp-1227675_Cu	0.0	0.11634002167780133	0.0002880258281004557	0.11634002167780133	0.0	0.11662804750590178	0.0002880258281004557	0.11662804750590178	0.0
mp-1228126_Cu	0.0	1.1441791765035971e-07	0.3329718351562029	1.1441791765035971e-07	0.0	0.3329719495741205	0.3329718351562029	0.3329719495741205	0.0
mp-1228135_Cu	0.0	8.895142969548907e-08	0.298660148225465	8.895142969548907e-08	0.0	0.29866023717689466	0.298660148225465	0.29866023717689466	0.0
mp-1228765_Cu	0.0	0.007048744821929226	0.30876829548618995	0.007048744821929226	0.0	0.30171955066426076	0.30876829548618995	0.30171955066426076	0.0
mp-1228912_Cu	0.0	3.198833243617688e-08	0.01643124423583559	3.198833243617688e-08	0.0	0.016431276224168026	0.01643124423583559	0.016431276224168026	0.0
mp-1228938_Cu	0.0	2.4907864878505667e-08	0.006885481422209613	2.4907864878505667e-08	0.0	0.006885456514344735	0.006885481422209613	0.006885456514344735	0.0
mp-1229_Cu	0.0	0.0847650439603711	0.04448371636495153	0.0847650439603711	0.0	0.040281327595419573	0.04448371636495153	0.040281327595419573	0.0
mp-1232302_Cu	0.0	0.27547421739475386	0.2803895867661006	0.27547421739475386	0.0	0.5558638041608545	0.2803895867661006	0.5558638041608545	0.0
mp-1232320_Cu	0.0	0.038948256674401396	0.36385380865875205	0.038948256674401396	0.0	0.4028020653331535	0.36385380865875205	0.4028020653331535	0.0
mp-1232333_Cu	0.0	0.01461075227918235	0.35780237763891887	0.01461075227918235	0.0	0.3724131299181012	0.35780237763891887	0.3724131299181012	0.0
mp-1238498_Cu	0.0	0.14622537475509068	0.15241160638868712	0.14622537475509068	0.0	0.006186231633596436	0.15241160638868712	0.006186231633596436	0.0
mp-1238791_Cu	0.0	0.13506752519084733	0.22502775657571114	0.13506752519084733	0.0	0.08996023138486381	0.22502775657571114	0.08996023138486381	0.0
mp-1238801_Cu	0.0	0.1704609922181966	0.038888905657212654	0.1704609922181966	0.0	0.20934989787540928	0.038888905657212654	0.20934989787540928	0.0
mp-1239022_Cu	0.0	0.6263528338841002	0.3983068344509216	0.6263528338841002	0.0	0.22804599943317863	0.3983068344509216	0.22804599943317863	0.0
mp-1245564_Cu	0.0	0.030451427192952154	0.38252359820833276	0.030451427192952154	0.0	0.35207217101538063	0.38252359820833276	0.35207217101538063	0.0
mp-1245601_Cu	0.0	0.00011274586386552156	0.7160548286521398	0.00011274586386552156	0.0	0.7161675745160052	0.7160548286521398	0.7161675745160052	0.0
mp-1245797_Cu	0.0	0.04482497861364762	0.016478313086956752	0.04482497861364762	0.0	0.028346665526690865	0.016478313086956752	0.028346665526690865	0.0
mp-1245811_Cu	0.0	0.0015321605911987606	0.0015321912103991612	0.0015321605911987606	0.0	3.061920040067946e-08	0.0015321912103991612	3.061920040067946e-08	0.0
mp-1246140_Cu	0.0	0.07282293796191201	0.44592612725507547	0.07282293796191201	0.0	0.5187490652169875	0.44592612725507547	0.5187490652169875	0.0
mp-1246500_Cu	0.0	0.012225741274244266	0.7499664739579084	0.012225741274244266	0.0	0.7621922152321526	0.7499664739579084	0.7621922152321526	0.0
mp-1246591_Cu	0.0	0.09058722352075327	0.5693576783177638	0.09058722352075327	0.0	0.4787704547970106	0.5693576783177638	0.4787704547970106	0.0
mp-1246600_Cu	0.0	0.00019765110552847636	0.7331010965977952	0.00019765110552847636	0.0	0.7329034454922667	0.7331010965977952	0.7329034454922667	0.0
mp-1246758_Cu	0.0	0.10252226098701593	0.44973194840168657	0.10252226098701593	0.0	0.3472096874146706	0.44973194840168657	0.3472096874146706	0.0
mp-1246848_Cu	0.0	0.0031270473517549134	0.7381167884860543	0.0031270473517549134	0.0	0.7412438358378092	0.7381167884860543	0.7412438358378092	0.0
mp-1247185_Cu	0.0	0.11804686097770152	0.20632736837234217	0.11804686097770152	0.0	0.3243742293500437	0.20632736837234217	0.3243742293500437	0.0
mp-1247448_Cu	0.0	0.06916963601909328	0.4313936432766592	0.06916963601909328	0.0	0.36222400725756587	0.4313936432766592	0.36222400725756587	0.0
mp-12550_Cu	0.0	0.07487338928232669	5.291827362375313e-08	0.07487338928232669	0.0	0.07487344220060031	5.291827362375313e-08	0.07487344220060031	0.0
mp-12586_Cu	0.0	1.839878231501263e-08	3.919935663454621e-08	1.839878231501263e-08	0.0	5.7598138949558836e-08	3.919935663454621e-08	5.7598138949558836e-08	0.0
mp-12608_Cu	0.0	5.637724336306399e-07	4.77214617660617e-07	5.637724336306399e-07	0.0	8.65578159700229e-08	4.77214617660617e-07	8.65578159700229e-08	0.0
mp-12614_Cu	0.0	0.17894814156919056	0.23895186552562125	0.17894814156919056	0.0	0.41790000709481184	0.23895186552562125	0.41790000709481184	0.0
mp-1274535_Cu	0.0	0.008108196163785488	0.014617412723214365	0.008108196163785488	0.0	0.022725608886999853	0.014617412723214365	0.022725608886999853	0.0
mp-1275201_Cu	0.0	0.043684739913829866	0.010647002258406351	0.043684739913829866	0.0	0.05433174217223622	0.010647002258406351	0.05433174217223622	0.0
mp-1275601_Cu	0.0	0.125729399167397	0.09700158667586997	0.125729399167397	0.0	0.028727812491527043	0.09700158667586997	0.028727812491527043	0.0
mp-12791_Cu	0.0	2.705914575370588e-06	0.14300282465737557	2.705914575370588e-06	0.0	0.14300553057195095	0.14300282465737557	0.14300553057195095	0.0
mp-12794_Cu	0.0	1.0656018546051996e-08	0.06548671517003651	1.0656018546051996e-08	0.0	0.06548670451401797	0.06548671517003651	0.06548670451401797	0.0
mp-12954_Cu	0.0	0.009526029027390926	0.04189405050789933	0.009526029027390926	0.0	0.05142007953529026	0.04189405050789933	0.05142007953529026	0.0
mp-12984_Cu	0.0	0.062359678773141594	0.01278149156835771	0.062359678773141594	0.0	0.04957818720478389	0.01278149156835771	0.04957818720478389	0.0
mp-13020_Cu	0.0	0.070509675160363	0.00852737912943494	0.070509675160363	0.0	0.06198229603092806	0.00852737912943494	0.06198229603092806	0.0
mp-13117_Cu	0.0	6.1057297168024244e-06	6.258203900177477e-06	6.1057297168024244e-06	0.0	1.5247418337505215e-07	6.258203900177477e-06	1.5247418337505215e-07	0.0
mp-13200_Cu	0.0	1.7275010325735733e-05	0.10862291358369858	1.7275010325735733e-05	0.0	0.10864018859402431	0.10862291358369858	0.10864018859402431	0.0
mp-13202_Cu	0.0	4.2989474821879995e-06	0.12920404013751532	4.2989474821879995e-06	0.0	0.12920833908499751	0.12920404013751532	0.12920833908499751	0.0
mp-13203_Cu	0.0	3.7814052927411885e-07	0.10394554663573087	3.7814052927411885e-07	0.0	0.1039451684952016	0.10394554663573087	0.1039451684952016	0.0
mp-13212_Cu	0.0	7.167173723067296e-06	0.1306855796543005	7.167173723067296e-06	0.0	0.13067841248057743	0.1306855796543005	0.13067841248057743	0.0
mp-1333124_Cu	0.0	0.0032118553645239184	0.7125199078096361	0.0032118553645239184	0.0	0.7093080524451122	0.7125199078096361	0.7093080524451122	0.0
mp-1337320_Cu	0.0	0.025216675855629016	0.17786382113993973	0.025216675855629016	0.0	0.20308049699556877	0.17786382113993973	0.20308049699556877	0.0
mp-13392_Cu	0.0	0.15050654597249258	0.0005126433533447592	0.15050654597249258	0.0	0.14999390261914783	0.0005126433533447592	0.14999390261914783	0.0
mp-1369804_Cu	0.0	0.050607716490981586	0.050658185319872984	0.050607716490981586	0.0	0.10126590181085457	0.050658185319872984	0.10126590181085457	0.0
mp-1377308_Cu	0.0	0.04522876561234808	0.09249772232787544	0.04522876561234808	0.0	0.13772648794022352	0.09249772232787544	0.13772648794022352	0.0
mp-13906_Cu	0.0	0.001013472935229101	0.005762063900076576	0.001013472935229101	0.0	0.004748590964847476	0.005762063900076576	0.004748590964847476	0.0
mp-1404142_Cu	0.0	0.06737881652862755	0.12140687422617077	0.06737881652862755	0.0	0.18878569075479834	0.12140687422617077	0.18878569075479834	0.0
mp-1406172_Cu	0.0	0.4261692774339709	0.5567833061348679	0.4261692774339709	0.0	0.13061402870089703	0.5567833061348679	0.13061402870089703	0.0
mp-14089_Cu	0.0	0.004324433994478829	0.030405351926681916	0.004324433994478829	0.0	0.034729785921160744	0.030405351926681916	0.034729785921160744	0.0
mp-14090_Cu	0.0	0.0013063135088661883	0.029689099718751374	0.0013063135088661883	0.0	0.030995413227617563	0.029689099718751374	0.030995413227617563	0.0
mp-14116_Cu	0.0	0.03543991617696348	0.7579749770301003	0.03543991617696348	0.0	0.7225350608531369	0.7579749770301003	0.7225350608531369	0.0
mp-1412709_Cu	0.0	0.18346458156714954	0.36308471468103415	0.18346458156714954	0.0	0.5465492962481837	0.36308471468103415	0.5465492962481837	0.0
mp-1443117_Cu	0.0	0.37257814485809154	0.5146515819801207	0.37257814485809154	0.0	0.1420734371220292	0.5146515819801207	0.1420734371220292	0.0
mp-14549_Cu	0.0	4.470518456734968e-06	3.168440091770149e-06	4.470518456734968e-06	0.0	1.3020783649648182e-06	3.168440091770149e-06	1.3020783649648182e-06	0.0
mp-16421_Cu	0.0	6.604012240527387e-08	0.2614409614331301	6.604012240527387e-08	0.0	0.26144089539300774	0.2614409614331301	0.26144089539300774	0.0
mp-16684_Cu	0.0	0.10466471864764268	0.022394832657772198	0.10466471864764268	0.0	0.12705955130541488	0.022394832657772198	0.12705955130541488	0.0
mp-16750_Cu	0.0	9.530600008432716e-07	0.09981292655835403	9.530600008432716e-07	0.0	0.09981197349835319	0.09981292655835403	0.09981197349835319	0.0
mp-16751_Cu	0.0	1.404175956015442e-06	0.09784882652062053	1.404175956015442e-06	0.0	0.09785023069657654	0.09784882652062053	0.09785023069657654	0.0
mp-16753_Cu	0.0	1.973688556399238e-06	0.09258942560315993	1.973688556399238e-06	0.0	0.09258745191460352	0.09258942560315993	0.09258745191460352	0.0
mp-1692_Cu	0.0	0.8133162651465726	0.6915770038526977	0.8133162651465726	0.0	0.12173926129387498	0.6915770038526977	0.12173926129387498	0.0
mp-17336_Cu	0.0	0.07210190993264147	0.06592475466062313	0.07210190993264147	0.0	0.006177155272018343	0.06592475466062313	0.006177155272018343	0.0
mp-1837_Cu	0.0	1.8014436972391056e-08	1.682592163615344e-08	1.8014436972391056e-08	0.0	3.4840358608544496e-08	1.682592163615344e-08	3.4840358608544496e-08	0.0
mp-193_Cu	0.0	0.00036970672887746996	0.026331987143113262	0.00036970672887746996	0.0	0.02670169387199073	0.026331987143113262	0.02670169387199073	0.0
mp-1955_Cu	0.0	4.026141199235428e-08	4.208098662142479e-08	4.026141199235428e-08	0.0	8.234239861377906e-08	4.208098662142479e-08	8.234239861377906e-08	0.0
mp-1971_Cu	0.0	4.316673667004414e-08	2.309411136316001e-08	4.316673667004414e-08	0.0	6.626084803320416e-08	2.309411136316001e-08	6.626084803320416e-08	0.0
mp-1978391_Cu	0.0	0.03445654579210944	0.016052490491594688	0.03445654579210944	0.0	0.05050903628370413	0.016052490491594688	0.05050903628370413	0.0
mp-19848_Cu	0.0	2.0675094998697408e-08	0.12005775939584076	2.0675094998697408e-08	0.0	0.12005778007093576	0.12005775939584076	0.12005778007093576	0.0
mp-19902_Cu	0.0	1.036235029001033e-07	0.0924614437264015	1.036235029001033e-07	0.0	0.0924613401028986	0.0924614437264015	0.0924613401028986	0.0
mp-19928_Cu	0.0	1.5251943859754754e-07	0.23279546078272412	1.5251943859754754e-07	0.0	0.2327953082632855	0.23279546078272412	0.2327953082632855	0.0
mp-19943_Cu	0.0	4.247925255166012e-08	0.11190891960026565	4.247925255166012e-08	0.0	0.1119088771210131	0.11190891960026565	0.1119088771210131	0.0
mp-19953_Cu	0.0	1.587347142843784e-08	0.10114857373512015	1.587347142843784e-08	0.0	0.10114855786164872	0.10114857373512015	0.10114855786164872	0.0
mp-19983_Cu	0.0	5.780538052113391e-06	0.2082927714742451	5.780538052113391e-06	0.0	0.20829855201229722	0.2082927714742451	0.20829855201229722	0.0
mp-2000_Cu	0.0	0.03219347713767371	0.02699217868076347	0.03219347713767371	0.0	0.005201298456910239	0.02699217868076347	0.005201298456910239	0.0
mp-20010_Cu	0.0	2.707677041852286e-06	0.1831576141909544	2.707677041852286e-06	0.0	0.18316032186799622	0.1831576141909544	0.18316032186799622	0.0
mp-20020_Cu	0.0	5.829890676659718e-06	0.11716544992750304	5.829890676659718e-06	0.0	0.1171712798181797	0.11716544992750304	0.1171712798181797	0.0
mp-20072_Cu	0.0	0.0658255554517223	0.9133664914946051	0.0658255554517223	0.0	0.8475409360428828	0.9133664914946051	0.8475409360428828	0.0
mp-20188_Cu	0.0	1.4499842218071396e-07	0.06045737485617624	1.4499842218071396e-07	0.0	0.06045722985775406	0.06045737485617624	0.06045722985775406	0.0
mp-2018976_Cu	0.0	0.2011070130794776	0.19314607919779542	0.2011070130794776	0.0	0.007960933881682189	0.19314607919779542	0.007960933881682189	0.0
mp-20290_Cu	0.0	1.742435915504763e-06	0.10359685526509656	1.742435915504763e-06	0.0	0.10359859770101207	0.10359685526509656	0.10359859770101207	0.0
mp-2031_Cu	0.0	3.603421749184376e-06	3.3781855872301774e-07	3.603421749184376e-06	0.0	3.265603190461358e-06	3.3781855872301774e-07	3.265603190461358e-06	0.0
mp-2034504_Cu	0.0	6.950933376617578e-07	0.07186782727669226	6.950933376617578e-07	0.0	0.07186852237002991	0.07186782727669226	0.07186852237002991	0.0
mp-20401_Cu	0.0	4.69576320984428e-09	0.09710671941723309	4.69576320984428e-09	0.0	0.09710671472146988	0.09710671941723309	0.09710671472146988	0.0
mp-2042825_Cu	0.0	0.09728059712189387	0.11683381323211914	0.09728059712189387	0.0	0.214114410354013	0.11683381323211914	0.214114410354013	0.0
mp-20502_Cu	0.0	2.0105294002044425e-08	0.11478173078216368	2.0105294002044425e-08	0.0	0.11478175088745768	0.11478173078216368	0.11478175088745768	0.0
mp-20637_Cu	0.0	2.716334258202647e-07	0.10852611326228732	2.716334258202647e-07	0.0	0.1085258416288615	0.10852611326228732	0.1085258416288615	0.0
mp-20663_Cu	0.0	1.3187037702011878e-06	0.09439648296801481	1.3187037702011878e-06	0.0	0.0943951642642446	0.09439648296801481	0.0943951642642446	0.0
mp-20774_Cu	0.0	1.6110798649536036e-06	0.14156753698451277	1.6110798649536036e-06	0.0	0.1415691480643777	0.14156753698451277	0.1415691480643777	0.0
mp-2078_Cu	0.0	2.2540972056583188e-08	0.11400168056991343	2.2540972056583188e-08	0.0	0.11400165802894137	0.11400168056991343	0.11400165802894137	0.0
mp-20826_Cu	0.0	0.21219790532901037	0.14989004612429446	0.21219790532901037	0.0	0.062307859204715904	0.14989004612429446	0.062307859204715904	0.0
mp-20859_Cu	0.0	0.0006557579253326719	0.11451834684769506	0.0006557579253326719	0.0	0.1138625889223624	0.11451834684769506	0.1138625889223624	0.0
mp-20865_Cu	0.0	1.2516129043661141e-06	0.10360824664212062	1.2516129043661141e-06	0.0	0.10360699502921625	0.10360824664212062	0.10360699502921625	0.0
mp-20930_Cu	0.0	0.0415853680856665	0.8019590594125802	0.0415853680856665	0.0	0.7603736913269137	0.8019590594125802	0.7603736913269137	0.0
mp-21015_Cu	0.0	3.0406152850264414e-08	0.11444159701030256	3.0406152850264414e-08	0.0	0.1144416274164554	0.11444159701030256	0.1144416274164554	0.0
mp-2103_Cu	0.0	3.737135122203035e-08	7.53505546033625e-08	3.737135122203035e-08	0.0	1.1272190582539285e-07	7.53505546033625e-08	1.1272190582539285e-07	0.0
mp-21364_Cu	0.0	6.537662858652548e-09	0.05663943674396268	6.537662858652548e-09	0.0	0.05663944328162553	0.05663943674396268	0.05663944328162553	0.0
mp-21436_Cu	0.0	1.8815135830631498e-06	0.14056522376415245	1.8815135830631498e-06	0.0	0.14056334225056938	0.14056522376415245	0.14056334225056938	0.0
mp-21859_Cu	0.0	0.024781956776146516	0.0503105230197019	0.024781956776146516	0.0	0.025528566243555387	0.0503105230197019	0.025528566243555387	0.0
mp-22085_Cu	0.0	1.2154390708962143e-07	0.10088480396339525	1.2154390708962143e-07	0.0	0.10088492550730234	0.10088480396339525	0.10088492550730234	0.0
mp-2210_Cu	0.0	3.060891551163753e-08	2.1335848076417813e-07	3.060891551163753e-08	0.0	2.4396739627581564e-07	2.1335848076417813e-07	2.4396739627581564e-07	0.0
mp-2214547_Cu	0.0	0.0027231608437771073	0.0012816139820402014	0.0027231608437771073	0.0	0.0014415468617369062	0.0012816139820402014	0.0014415468617369062	0.0
mp-22188_Cu	0.0	1.0251060593280762e-06	0.12248467199346735	1.0251060593280762e-06	0.0	0.12248569709952668	0.12248467199346735	0.12248569709952668	0.0
mp-22261_Cu	0.0	0.0026208411098829335	0.018509919014993752	0.0026208411098829335	0.0	0.021130760124876687	0.018509919014993752	0.021130760124876687	0.0
mp-22271_Cu	0.0	5.339986760133241e-08	0.3630076755611146	5.339986760133241e-08	0.0	0.36300762216124693	0.3630076755611146	0.36300762216124693	0.0
