 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    7.7929999999999999E-002  eV
 efermi =   -9.2189776600000002       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.1088476964E+001   0.9305870573E-002   0.3476267820E-004   0.9987840309E+000   0.9317200000E-002   0.3480500000E-004
  -0.1084802033E+001   0.9348862097E-002   0.3518295527E-004   0.9987780410E+000   0.9360300000E-002   0.3522600000E-004
  -0.1081127102E+001   0.9392451811E-002   0.3561121537E-004   0.9987719918E+000   0.9404000000E-002   0.3565500000E-004
  -0.1077452171E+001   0.9436439933E-002   0.3604945576E-004   0.9987658823E+000   0.9448100000E-002   0.3609400000E-004
  -0.1073777240E+001   0.9481126068E-002   0.3649567863E-004   0.9987597118E+000   0.9492900000E-002   0.3654100000E-004
  -0.1070102309E+001   0.9526310436E-002   0.3695188123E-004   0.9987534793E+000   0.9538200000E-002   0.3699800000E-004
  -0.1066427378E+001   0.9572092884E-002   0.3741806324E-004   0.9987471838E+000   0.9584100000E-002   0.3746500000E-004
  -0.1062752448E+001   0.9618473383E-002   0.3789322562E-004   0.9987408244E+000   0.9630600000E-002   0.3794100000E-004
  -0.1059077517E+001   0.9665451904E-002   0.3837936553E-004   0.9987344001E+000   0.9677700000E-002   0.3842800000E-004
  -0.1055402586E+001   0.9713028415E-002   0.3887548389E-004   0.9987279099E+000   0.9725400000E-002   0.3892500000E-004
  -0.1051727655E+001   0.9761302758E-002   0.3938257910E-004   0.9987213528E+000   0.9773800000E-002   0.3943300000E-004
  -0.1048052724E+001   0.9810175028E-002   0.3989965209E-004   0.9987147277E+000   0.9822800000E-002   0.3995100000E-004
  -0.1044377793E+001   0.9859745063E-002   0.4042969862E-004   0.9987080337E+000   0.9872500000E-002   0.4048200000E-004
  -0.1040702862E+001   0.9910012828E-002   0.4097072088E-004   0.9987012695E+000   0.9922900000E-002   0.4102400000E-004
  -0.1037027931E+001   0.9960878417E-002   0.4152371718E-004   0.9986944342E+000   0.9973900000E-002   0.4157800000E-004
  -0.1033353000E+001   0.1001284114E-001   0.4208968581E-004   0.9986875265E+000   0.1002600000E-001   0.4214500000E-004
  -0.1029678069E+001   0.1006470254E-001   0.4266862630E-004   0.9986805454E+000   0.1007800000E-001   0.4272500000E-004
  -0.1026003139E+001   0.1011756112E-001   0.4326153689E-004   0.9986734895E+000   0.1013100000E-001   0.4331900000E-004
  -0.1022328208E+001   0.1017141685E-001   0.4386741843E-004   0.9986663578E+000   0.1018500000E-001   0.4392600000E-004
  -0.1018653277E+001   0.1022626969E-001   0.4448726911E-004   0.9986591490E+000   0.1024000000E-001   0.4454700000E-004
  -0.1014978346E+001   0.1028211957E-001   0.4512308573E-004   0.9986518619E+000   0.1029600000E-001   0.4518400000E-004
  -0.1011303415E+001   0.1033796781E-001   0.4577287043E-004   0.9986444951E+000   0.1035200000E-001   0.4583500000E-004
  -0.1007628484E+001   0.1039481303E-001   0.4643861998E-004   0.9986370474E+000   0.1040900000E-001   0.4650200000E-004
  -0.1003953553E+001   0.1045265516E-001   0.4712133241E-004   0.9986295173E+000   0.1046700000E-001   0.4718600000E-004
  -0.1000278622E+001   0.1051149416E-001   0.4782000848E-004   0.9986219036E+000   0.1052600000E-001   0.4788600000E-004
  -0.9966036913E+000   0.1057132997E-001   0.4853664481E-004   0.9986142049E+000   0.1058600000E-001   0.4860400000E-004
  -0.9929287604E+000   0.1063216255E-001   0.4927124074E-004   0.9986064196E+000   0.1064700000E-001   0.4934000000E-004
  -0.9892538295E+000   0.1069399183E-001   0.5002479418E-004   0.9985985464E+000   0.1070900000E-001   0.5009500000E-004
  -0.9855788986E+000   0.1075581918E-001   0.5079730440E-004   0.9985905837E+000   0.1077100000E-001   0.5086900000E-004
  -0.9819039677E+000   0.1081964171E-001   0.5158976925E-004   0.9985825300E+000   0.1083500000E-001   0.5166300000E-004
  -0.9782290368E+000   0.1088446078E-001   0.5240318651E-004   0.9985743837E+000   0.1090000000E-001   0.5247800000E-004
  -0.9745541059E+000   0.1094927776E-001   0.5323755536E-004   0.9985661433E+000   0.1096500000E-001   0.5331400000E-004
  -0.9708791750E+000   0.1101608973E-001   0.5409487208E-004   0.9985578070E+000   0.1103200000E-001   0.5417300000E-004
  -0.9672042441E+000   0.1108389804E-001   0.5497513574E-004   0.9985493732E+000   0.1110000000E-001   0.5505500000E-004
  -0.9635293132E+000   0.1115270264E-001   0.5587934396E-004   0.9985408403E+000   0.1116900000E-001   0.5596100000E-004
  -0.9598543823E+000   0.1122250347E-001   0.5680849428E-004   0.9985322063E+000   0.1123900000E-001   0.5689200000E-004
  -0.9561794514E+000   0.1129429896E-001   0.5776358419E-004   0.9985234696E+000   0.1131100000E-001   0.5784900000E-004
  -0.9525045205E+000   0.1136709053E-001   0.5874660963E-004   0.9985146282E+000   0.1138400000E-001   0.5883400000E-004
  -0.9488295896E+000   0.1143987958E-001   0.5975657094E-004   0.9985056803E+000   0.1145700000E-001   0.5984600000E-004
  -0.9451546587E+000   0.1151566156E-001   0.6079546394E-004   0.9984966239E+000   0.1153300000E-001   0.6088700000E-004
  -0.9414797278E+000   0.1159144089E-001   0.6186528436E-004   0.9984874572E+000   0.1160900000E-001   0.6195900000E-004
  -0.9378047969E+000   0.1166921447E-001   0.6296702933E-004   0.9984781779E+000   0.1168700000E-001   0.6306300000E-004
  -0.9341298660E+000   0.1174898218E-001   0.6410169594E-004   0.9984687841E+000   0.1176700000E-001   0.6420000000E-004
  -0.9304549351E+000   0.1182874701E-001   0.6527028117E-004   0.9984592736E+000   0.1184700000E-001   0.6537100000E-004
  -0.9267800042E+000   0.1191150425E-001   0.6647478041E-004   0.9984496442E+000   0.1193000000E-001   0.6657800000E-004
  -0.9231050733E+000   0.1199525688E-001   0.6771718891E-004   0.9984398937E+000   0.1201400000E-001   0.6782300000E-004
  -0.9194301424E+000   0.1208000481E-001   0.6899750494E-004   0.9984300197E+000   0.1209900000E-001   0.6910600000E-004
  -0.9157552115E+000   0.1216674636E-001   0.7031972043E-004   0.9984200200E+000   0.1218600000E-001   0.7043100000E-004
  -0.9120802806E+000   0.1225548143E-001   0.7168383343E-004   0.9984098921E+000   0.1227500000E-001   0.7179800000E-004
  -0.9084053497E+000   0.1234620987E-001   0.7309283717E-004   0.9983996335E+000   0.1236600000E-001   0.7321000000E-004
  -0.9047304188E+000   0.1243793317E-001   0.7454872629E-004   0.9983892417E+000   0.1245800000E-001   0.7466900000E-004
  -0.9010554879E+000   0.1253264800E-001   0.7605349530E-004   0.9983787141E+000   0.1255300000E-001   0.7617700000E-004
  -0.8973805570E+000   0.1262835744E-001   0.7760814020E-004   0.9983680479E+000   0.1264900000E-001   0.7773500000E-004
  -0.8937056261E+000   0.1272605974E-001   0.7921765032E-004   0.9983572405E+000   0.1274700000E-001   0.7934800000E-004
  -0.8900306952E+000   0.1282675312E-001   0.8088302129E-004   0.9983462889E+000   0.1284800000E-001   0.8101700000E-004
  -0.8863557643E+000   0.1292844072E-001   0.8260824366E-004   0.9983351904E+000   0.1295000000E-001   0.8274600000E-004
  -0.8826808334E+000   0.1303311906E-001   0.8439431275E-004   0.9983239419E+000   0.1305500000E-001   0.8453600000E-004
  -0.8790059025E+000   0.1313978966E-001   0.8624621699E-004   0.9983125403E+000   0.1316200000E-001   0.8639200000E-004
