 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    2.0000000000000000E-002  eV
 efermi =   -5.6992884500000001       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.9811804032E+000  -0.2215928033E+003  -0.8811727895E-001   0.9996968478E+000  -0.2216600000E+003  -0.8814400000E-001
  -0.9775054723E+000  -0.2220223508E+003  -0.8663660222E-001   0.9996953973E+000  -0.2220900000E+003  -0.8666300000E-001
  -0.9738305414E+000  -0.2224518939E+003  -0.8291761388E-001   0.9996939329E+000  -0.2225200000E+003  -0.8294300000E-001
  -0.9701556105E+000  -0.2228514419E+003  -0.7721824456E-001   0.9996924543E+000  -0.2229200000E+003  -0.7724200000E-001
  -0.9664806796E+000  -0.2232209948E+003  -0.6977243096E-001   0.9996909614E+000  -0.2232900000E+003  -0.6979400000E-001
  -0.9628057487E+000  -0.2235505557E+003  -0.6079411476E-001   0.9996894539E+000  -0.2236200000E+003  -0.6081300000E-001
  -0.9591308178E+000  -0.2238301279E+003  -0.5047524335E-001   0.9996879316E+000  -0.2239000000E+003  -0.5049100000E-001
  -0.9554558869E+000  -0.2240497147E+003  -0.3899376750E-001   0.9996863943E+000  -0.2241200000E+003  -0.3900600000E-001
  -0.9517809560E+000  -0.2242093163E+003  -0.2650764327E-001   0.9996848418E+000  -0.2242800000E+003  -0.2651600000E-001
  -0.9481060251E+000  -0.2243089330E+003  -0.1316182998E-001   0.9996832739E+000  -0.2243800000E+003  -0.1316600000E-001
  -0.9444310942E+000  -0.2243385681E+003   0.9135791062E-003   0.9996816902E+000  -0.2244100000E+003   0.9138700000E-003
  -0.9407561633E+000  -0.2242982219E+003   0.1560300686E-001   0.9996800907E+000  -0.2243700000E+003   0.1560800000E-001
  -0.9370812324E+000  -0.2241878948E+003   0.3080009381E-001   0.9996784750E+000  -0.2242600000E+003   0.3081000000E-001
  -0.9334063015E+000  -0.2239875934E+003   0.4641299646E-001   0.9996768429E+000  -0.2240600000E+003   0.4642800000E-001
  -0.9297313706E+000  -0.2237173117E+003   0.6235573991E-001   0.9996751941E+000  -0.2237900000E+003   0.6237600000E-001
  -0.9260564397E+000  -0.2233670532E+003   0.7855634521E-001   0.9996735284E+000  -0.2234400000E+003   0.7858200000E-001
  -0.9223815088E+000  -0.2229368183E+003   0.9494683255E-001   0.9996718456E+000  -0.2230100000E+003   0.9497800000E-001
  -0.9187065779E+000  -0.2224166106E+003   0.1114732179E+000   0.9996701453E+000  -0.2224900000E+003   0.1115100000E+000
  -0.9150316470E+000  -0.2218164273E+003   0.1280775189E+000   0.9996684273E+000  -0.2218900000E+003   0.1281200000E+000
  -0.9113567161E+000  -0.2211362688E+003   0.1447217469E+000   0.9996666913E+000  -0.2212100000E+003   0.1447700000E+000
  -0.9076817852E+000  -0.2203661387E+003   0.1613659141E+000   0.9996649371E+000  -0.2204400000E+003   0.1614200000E+000
  -0.9040068543E+000  -0.2195260309E+003   0.1779700331E+000   0.9996631643E+000  -0.2196000000E+003   0.1780300000E+000
  -0.9003319234E+000  -0.2185859557E+003   0.1945241065E+000   0.9996613726E+000  -0.2186600000E+003   0.1945900000E+000
  -0.8966569925E+000  -0.2175759036E+003   0.2109881471E+000   0.9996595617E+000  -0.2176500000E+003   0.2110600000E+000
  -0.8929820616E+000  -0.2164758817E+003   0.2273621544E+000   0.9996577314E+000  -0.2165500000E+003   0.2274400000E+000
  -0.8893071307E+000  -0.2153058837E+003   0.2436061417E+000   0.9996558813E+000  -0.2153800000E+003   0.2436900000E+000
  -0.8856321998E+000  -0.2140459169E+003   0.2597201086E+000   0.9996540111E+000  -0.2141200000E+003   0.2598100000E+000
  -0.8819572689E+000  -0.2127059782E+003   0.2757040548E+000   0.9996521205E+000  -0.2127800000E+003   0.2758000000E+000
  -0.8782823380E+000  -0.2112860682E+003   0.2915479835E+000   0.9996502091E+000  -0.2113600000E+003   0.2916500000E+000
  -0.8746074071E+000  -0.2097861873E+003   0.3072319013E+000   0.9996482765E+000  -0.2098600000E+003   0.3073400000E+000
  -0.8709324762E+000  -0.2082163325E+003   0.3227857975E+000   0.9996463225E+000  -0.2082900000E+003   0.3229000000E+000
  -0.8672575453E+000  -0.2065565113E+003   0.3381796825E+000   0.9996443466E+000  -0.2066300000E+003   0.3383000000E+000
  -0.8635826144E+000  -0.2048267172E+003   0.3534435452E+000   0.9996423486E+000  -0.2049000000E+003   0.3535700000E+000
  -0.8599076835E+000  -0.2030269506E+003   0.3685573925E+000   0.9996403280E+000  -0.2031000000E+003   0.3686900000E+000
  -0.8562327526E+000  -0.2011472156E+003   0.3835512133E+000   0.9996382844E+000  -0.2012200000E+003   0.3836900000E+000
  -0.8525578217E+000  -0.1991875127E+003   0.3984250072E+000   0.9996362174E+000  -0.1992600000E+003   0.3985700000E+000
  -0.8488828908E+000  -0.1971578388E+003   0.4131787736E+000   0.9996341267E+000  -0.1972300000E+003   0.4133300000E+000
  -0.8452079599E+000  -0.1950581945E+003   0.4278325048E+000   0.9996320119E+000  -0.1951300000E+003   0.4279900000E+000
  -0.8415330290E+000  -0.1928785839E+003   0.4423961963E+000   0.9996298724E+000  -0.1929500000E+003   0.4425600000E+000
  -0.8378580981E+000  -0.1906290039E+003   0.4568798439E+000   0.9996277079E+000  -0.1907000000E+003   0.4570500000E+000
  -0.8341831672E+000  -0.1883094551E+003   0.4713034392E+000   0.9996255180E+000  -0.1883800000E+003   0.4714800000E+000
  -0.8305082363E+000  -0.1859199380E+003   0.4856769776E+000   0.9996233021E+000  -0.1859900000E+003   0.4858600000E+000
  -0.8268333054E+000  -0.1834504569E+003   0.5000104541E+000   0.9996210598E+000  -0.1835200000E+003   0.5002000000E+000
  -0.8231583745E+000  -0.1809210049E+003   0.5143338564E+000   0.9996187907E+000  -0.1809900000E+003   0.5145300000E+000
  -0.8194834436E+000  -0.1783115903E+003   0.5286471830E+000   0.9996164943E+000  -0.1783800000E+003   0.5288500000E+000
  -0.8158085127E+000  -0.1756322097E+003   0.5429804210E+000   0.9996141700E+000  -0.1757000000E+003   0.5431900000E+000
  -0.8121335818E+000  -0.1728728677E+003   0.5573435649E+000   0.9996118174E+000  -0.1729400000E+003   0.5575600000E+000
  -0.8084586509E+000  -0.1700535572E+003   0.5717566052E+000   0.9996094359E+000  -0.1701200000E+003   0.5719800000E+000
  -0.8047837200E+000  -0.1671542867E+003   0.5862495280E+000   0.9996070250E+000  -0.1672200000E+003   0.5864800000E+000
  -0.8011087891E+000  -0.1641950490E+003   0.6008223314E+000   0.9996045842E+000  -0.1642600000E+003   0.6010600000E+000
  -0.7974338582E+000  -0.1611458566E+003   0.6155050010E+000   0.9996021129E+000  -0.1612100000E+003   0.6157500000E+000
