 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =    2.5954000000000002       eV
 efermi =   -12.153941300000000       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.6340704203E+000  -0.5655758435E-004   0.4890616597E-004   0.8501575977E+000  -0.6652600000E-004   0.5752600000E-004
  -0.6303954894E+000  -0.5591159557E-004   0.4907404776E-004   0.8475948696E+000  -0.6596500000E-004   0.5789800000E-004
  -0.6267205585E+000  -0.5527072099E-004   0.4923524241E-004   0.8449501014E+000  -0.6541300000E-004   0.5827000000E-004
  -0.6230456276E+000  -0.5463479018E-004   0.4938860384E-004   0.8422196729E+000  -0.6487000000E-004   0.5864100000E-004
  -0.6193706967E+000  -0.5400194519E-004   0.4953382018E-004   0.8393997760E+000  -0.6433400000E-004   0.5901100000E-004
  -0.6156957658E+000  -0.5337368804E-004   0.4967056273E-004   0.8364864050E+000  -0.6380700000E-004   0.5938000000E-004
  -0.6120208349E+000  -0.5274815431E-004   0.4979848505E-004   0.8334753473E+000  -0.6328700000E-004   0.5974800000E-004
  -0.6083459040E+000  -0.5212598540E-004   0.4991722202E-004   0.8303621728E+000  -0.6277500000E-004   0.6011500000E-004
  -0.6046709731E+000  -0.5150697344E-004   0.5002638886E-004   0.8271422241E+000  -0.6227100000E-004   0.6048100000E-004
  -0.6009960422E+000  -0.5089007640E-004   0.5012558015E-004   0.8238106063E+000  -0.6177400000E-004   0.6084600000E-004
  -0.5973211113E+000  -0.5027507567E-004   0.5021354851E-004   0.8203621773E+000  -0.6128400000E-004   0.6120900000E-004
  -0.5936461804E+000  -0.4966255906E-004   0.5029148855E-004   0.8167915375E+000  -0.6080200000E-004   0.6157200000E-004
  -0.5899712495E+000  -0.4905146270E-004   0.5035729009E-004   0.8130930214E+000  -0.6032700000E-004   0.6193300000E-004
  -0.5862963186E+000  -0.4844153555E-004   0.5041127607E-004   0.8092606885E+000  -0.5985900000E-004   0.6229300000E-004
